student_id,name,roll_number,department,year,attendance_pct,backlogs,grade_trend,fee_delay_days,family_income_bracket,extracurricular,attendance_trend_3m,risk_level
41,Student_0041,ROLL00041,MBA,2,45.93,0,-0.718,4,high,1,-13.71,Medium
42,Student_0042,ROLL00042,CE,2,71.92,2,0.771,114,low,0,2.52,High
43,Student_0043,ROLL00043,BCA,1,76.03,0,0.098,3,high,1,-9.18,Low
44,Student_0044,ROLL00044,MBA,2,100.0,0,0.976,14,mid,0,2.21,Low
45,Student_0045,ROLL00045,ECE,4,37.57,1,0.571,2,mid,1,-4.24,Medium
46,Student_0046,ROLL00046,ECE,2,98.58,0,-0.282,21,high,0,-5.57,Low
47,Student_0047,ROLL00047,BCA,3,69.94,2,-1.594,10,high,1,-7.8,Medium
48,Student_0048,ROLL00048,MBA,2,77.62,0,-1.599,15,high,1,2.69,Low
49,Student_0049,ROLL00049,Physics,2,77.98,0,1.551,11,mid,1,-2.07,Low
50,Student_0050,ROLL00050,BCA,3,100.0,0,1.369,18,mid,0,8.29,Low
51,Student_0051,ROLL00051,BCA,3,67.15,1,1.502,7,mid,1,-2.41,Low
52,Student_0052,ROLL00052,Physics,1,71.0,0,-0.089,1,high,0,-11.81,Low
53,Student_0053,ROLL00053,Physics,1,100.0,0,-0.447,0,high,0,0.62,Low
54,Student_0054,ROLL00054,ECE,2,53.37,3,0.035,0,mid,1,-8.6,Medium
55,Student_0055,ROLL00055,BCA,3,69.98,0,0.614,1,high,0,3.06,Low
56,Student_0056,ROLL00056,Commerce,2,66.41,1,-0.988,33,mid,1,-10.78,Medium
57,Student_0057,ROLL00057,ECE,2,57.41,0,-0.187,5,mid,0,-3.38,Low
58,Student_0058,ROLL00058,CSE,1,65.69,1,0.654,10,mid,0,15.0,Low
59,Student_0059,ROLL00059,Physics,4,65.01,0,1.396,12,mid,0,-13.48,Low
60,Student_0060,ROLL00060,CSE,1,74.29,0,-0.626,7,low,0,-2.61,Low
61,Student_0061,ROLL00061,Physics,1,67.7,0,-0.577,5,high,1,3.04,Low
62,Student_0062,ROLL00062,ME,1,100.0,0,-1.002,8,mid,1,0.71,Low
63,Student_0063,ROLL00063,ECE,2,51.5,1,2.0,14,low,0,-15.89,Medium
64,Student_0064,ROLL00064,CSE,3,61.62,1,1.442,9,mid,1,1.62,Low
65,Student_0065,ROLL00065,BCA,4,78.68,0,0.087,9,high,0,-4.25,Low
66,Student_0066,ROLL00066,BCA,3,82.59,0,1.035,15,low,1,9.01,Low
67,Student_0067,ROLL00067,Commerce,4,38.33,0,0.018,3,mid,1,1.41,Medium
68,Student_0068,ROLL00068,Physics,4,32.2,0,1.144,2,mid,1,-6.94,Medium
69,Student_0069,ROLL00069,Commerce,3,63.73,0,0.83,0,mid,1,-9.85,Low
70,Student_0070,ROLL00070,CSE,2,78.01,0,-0.979,0,high,0,4.71,Low
71,Student_0071,ROLL00071,Commerce,3,42.62,1,-1.058,35,mid,1,-16.1,Medium
72,Student_0072,ROLL00072,BCA,3,30.16,1,2.0,0,low,1,-11.12,Medium
73,Student_0073,ROLL00073,CE,1,57.77,1,1.882,6,high,1,7.76,Low
74,Student_0074,ROLL00074,BCA,1,86.06,3,0.524,0,high,0,-2.06,Low
75,Student_0075,ROLL00075,CSE,2,48.78,0,-0.336,3,high,0,1.35,Low
76,Student_0076,ROLL00076,BCA,1,48.26,2,-1.845,0,high,1,-14.15,Medium
77,Student_0077,ROLL00077,CE,3,100.0,0,0.014,11,high,0,2.88,Low
78,Student_0078,ROLL00078,ECE,1,52.07,2,-2.0,8,mid,1,-12.42,Medium
79,Student_0079,ROLL00079,CSE,4,69.3,1,0.833,0,high,0,-13.61,Medium
80,Student_0080,ROLL00080,CSE,1,94.89,1,-1.129,3,low,1,5.5,Low
81,Student_0081,ROLL00081,Commerce,4,86.65,0,0.235,38,low,0,4.26,Low
82,Student_0082,ROLL00082,Commerce,2,66.43,0,-1.251,78,low,1,-12.93,Medium
83,Student_0083,ROLL00083,ECE,3,85.61,0,1.247,8,mid,0,-7.85,Low
84,Student_0084,ROLL00084,Physics,4,71.44,3,0.672,4,mid,0,-13.31,Medium
85,Student_0085,ROLL00085,Commerce,1,42.67,1,2.0,8,low,0,-6.26,Medium
86,Student_0086,ROLL00086,CE,1,89.69,0,-1.28,10,mid,0,5.59,Low
87,Student_0087,ROLL00087,ME,1,60.99,0,-0.923,19,mid,0,-13.81,Medium
88,Student_0088,ROLL00088,Commerce,4,100.0,0,0.7,1,high,1,2.97,Low
89,Student_0089,ROLL00089,MBA,3,65.66,0,0.18,40,low,1,-5.68,Medium
90,Student_0090,ROLL00090,MBA,4,61.88,1,-1.57,6,mid,0,-3.6,Medium
91,Student_0091,ROLL00091,Commerce,4,78.84,1,0.56,17,mid,1,5.65,Low
92,Student_0092,ROLL00092,Commerce,3,42.1,1,0.208,4,high,1,-8.43,Medium
93,Student_0093,ROLL00093,ECE,3,92.32,0,-0.465,0,high,1,7.43,Low
94,Student_0094,ROLL00094,ECE,3,66.43,2,-0.895,1,mid,0,8.58,Medium
95,Student_0095,ROLL00095,CSE,1,76.81,1,0.082,41,mid,1,5.52,Low
96,Student_0096,ROLL00096,MBA,4,97.37,0,1.453,8,mid,1,0.9,Low
97,Student_0097,ROLL00097,BCA,4,53.93,0,-0.035,39,low,0,-1.13,Medium
98,Student_0098,ROLL00098,Physics,3,57.14,4,-0.664,23,high,0,-1.67,Medium
99,Student_0099,ROLL00099,MBA,3,60.52,0,-0.623,22,mid,0,-7.44,Medium
100,Student_0100,ROLL00100,BCA,1,61.73,0,0.633,26,low,1,-9.72,Medium
101,Student_0101,ROLL00101,CSE,4,81.78,1,-0.851,16,low,0,3.52,Medium
102,Student_0102,ROLL00102,BCA,1,100.0,0,0.224,23,low,1,9.03,Low
103,Student_0103,ROLL00103,Physics,4,42.49,1,0.24,16,mid,1,-9.56,Medium
104,Student_0104,ROLL00104,ME,1,84.87,1,1.532,20,mid,0,1.15,Low
105,Student_0105,ROLL00105,BCA,3,79.53,0,-0.226,33,low,1,-2.97,Low
106,Student_0106,ROLL00106,CE,4,85.43,0,0.219,21,mid,1,2.52,Low
107,Student_0107,ROLL00107,CE,3,63.96,0,1.074,4,high,0,-11.21,Low
108,Student_0108,ROLL00108,ECE,2,74.3,0,-0.526,0,high,0,9.52,Low
109,Student_0109,ROLL00109,ECE,3,45.94,0,0.44,17,mid,0,-16.02,Medium
110,Student_0110,ROLL00110,BCA,3,61.85,1,-0.099,35,low,0,4.18,Medium
111,Student_0111,ROLL00111,Commerce,2,73.34,0,0.951,120,low,0,-5.74,High
112,Student_0112,ROLL00112,Commerce,3,80.22,1,1.329,0,high,1,9.25,Low
113,Student_0113,ROLL00113,CSE,2,78.75,0,-1.358,2,low,1,-5.53,Medium
114,Student_0114,ROLL00114,ME,4,60.25,0,-2.0,13,mid,0,3.29,Medium
115,Student_0115,ROLL00115,BCA,1,54.59,0,-0.004,42,low,1,-12.27,Medium
116,Student_0116,ROLL00116,MBA,2,72.68,0,-0.732,29,low,1,-7.57,Medium
117,Student_0117,ROLL00117,Commerce,4,97.19,1,0.06,71,low,1,-0.23,Medium
118,Student_0118,ROLL00118,ME,3,91.6,0,0.95,21,low,1,11.68,Low
119,Student_0119,ROLL00119,ME,2,60.27,0,-0.32,14,low,0,0.39,Medium
120,Student_0120,ROLL00120,ME,4,92.33,0,0.753,84,mid,1,-2.64,Medium
121,Student_0121,ROLL00121,ME,1,91.64,0,0.933,14,low,0,7.37,Low
122,Student_0122,ROLL00122,CE,2,90.85,1,-0.039,34,mid,1,6.26,Low
123,Student_0123,ROLL00123,BCA,1,98.58,1,-0.626,83,low,0,4.98,Medium
124,Student_0124,ROLL00124,MBA,1,66.75,0,1.062,15,low,1,-5.9,Low
125,Student_0125,ROLL00125,CSE,4,48.7,2,-0.468,21,low,0,-9.23,Medium
126,Student_0126,ROLL00126,BCA,1,76.58,1,-1.392,18,mid,0,3.78,Medium
127,Student_0127,ROLL00127,MBA,1,78.53,2,-0.303,1,high,0,0.04,Medium
128,Student_0128,ROLL00128,MBA,1,72.94,1,-0.081,24,low,0,-1.89,Medium
129,Student_0129,ROLL00129,CSE,3,34.18,5,-0.871,0,mid,0,-8.77,High
130,Student_0130,ROLL00130,Commerce,4,83.6,0,-0.651,10,high,0,7.35,Low
131,Student_0131,ROLL00131,ECE,3,100.0,0,0.201,0,mid,1,8.25,Low
132,Student_0132,ROLL00132,ME,3,93.37,2,-1.146,1,mid,1,2.68,Low
133,Student_0133,ROLL00133,Physics,1,100.0,0,-0.244,5,mid,1,7.82,Low
134,Student_0134,ROLL00134,CSE,3,84.62,0,0.126,11,mid,0,-2.48,Low
135,Student_0135,ROLL00135,Commerce,3,54.15,0,-0.639,3,mid,0,-13.58,Medium
136,Student_0136,ROLL00136,ECE,2,90.18,1,-0.325,10,mid,1,-3.95,Low
137,Student_0137,ROLL00137,MBA,3,96.92,0,0.595,46,mid,0,7.27,Low
138,Student_0138,ROLL00138,CSE,4,77.06,0,-0.281,1,high,0,4.77,Low
139,Student_0139,ROLL00139,ME,4,99.26,1,-0.603,6,low,1,-4.93,Low
140,Student_0140,ROLL00140,Commerce,3,47.99,0,0.44,23,low,1,-16.63,Medium
141,Student_0141,ROLL00141,ECE,3,93.71,0,-0.284,4,high,1,5.01,Low
142,Student_0142,ROLL00142,MBA,4,59.53,0,1.248,3,low,1,14.78,Low
143,Student_0143,ROLL00143,Commerce,1,65.63,1,1.225,11,mid,0,9.99,Low
144,Student_0144,ROLL00144,BCA,1,41.66,1,-0.772,2,high,1,-7.45,Medium
145,Student_0145,ROLL00145,Commerce,1,61.53,0,-0.649,25,low,0,-12.79,Medium
146,Student_0146,ROLL00146,MBA,4,84.62,0,2.0,2,high,1,11.36,Low
147,Student_0147,ROLL00147,BCA,4,82.05,0,0.539,26,low,0,-1.6,Medium
148,Student_0148,ROLL00148,CSE,4,66.48,0,-1.407,2,mid,1,-2.42,Medium
149,Student_0149,ROLL00149,CSE,2,58.51,0,-0.527,26,mid,1,-0.11,Low
150,Student_0150,ROLL00150,ECE,1,55.98,0,0.708,17,low,1,0.11,Medium
151,Student_0151,ROLL00151,ME,2,73.47,0,0.919,30,mid,1,-5.32,Low
152,Student_0152,ROLL00152,CSE,3,89.86,0,-0.898,6,mid,1,8.43,Low
153,Student_0153,ROLL00153,CSE,1,71.55,1,1.39,3,high,0,1.46,Low
154,Student_0154,ROLL00154,Physics,1,54.14,1,0.054,13,low,1,-10.51,Medium
155,Student_0155,ROLL00155,BCA,4,99.55,1,-0.213,120,low,0,10.45,High
156,Student_0156,ROLL00156,CSE,4,64.6,0,-0.628,24,low,1,0.5,Medium
157,Student_0157,ROLL00157,CE,1,30.0,2,-1.367,6,mid,1,-13.8,High
158,Student_0158,ROLL00158,BCA,1,85.66,0,-2.0,10,low,1,3.54,Low
159,Student_0159,ROLL00159,CSE,1,54.11,0,-1.96,3,low,1,13.48,Low
160,Student_0160,ROLL00160,CE,2,56.07,0,-1.614,9,mid,1,-8.35,Medium
161,Student_0161,ROLL00161,CSE,2,84.2,0,2.0,16,mid,1,-0.03,Low
162,Student_0162,ROLL00162,CE,3,100.0,0,-0.678,10,mid,1,1.17,Low
163,Student_0163,ROLL00163,Physics,3,47.75,0,1.2,7,low,0,-17.26,Medium
164,Student_0164,ROLL00164,Physics,4,59.26,1,1.311,8,low,0,7.63,Low
165,Student_0165,ROLL00165,CSE,1,60.42,1,0.057,13,mid,1,-0.85,Medium
166,Student_0166,ROLL00166,ME,2,91.31,0,-1.966,33,low,1,0.58,Low
167,Student_0167,ROLL00167,Physics,3,47.87,2,0.304,12,high,0,-9.87,Medium
168,Student_0168,ROLL00168,Physics,2,100.0,0,1.173,2,mid,1,5.0,Low
169,Student_0169,ROLL00169,ME,2,94.29,0,0.309,24,low,0,11.51,Low
170,Student_0170,ROLL00170,Commerce,4,83.22,0,0.478,9,mid,0,7.14,Low
171,Student_0171,ROLL00171,CSE,4,95.18,0,0.261,33,low,0,-4.0,Medium
172,Student_0172,ROLL00172,CE,4,61.02,0,0.648,16,low,0,-6.63,Low
173,Student_0173,ROLL00173,Physics,3,57.29,0,0.589,2,high,1,-0.29,Low
174,Student_0174,ROLL00174,CSE,1,94.73,0,2.0,2,low,1,12.31,Low
175,Student_0175,ROLL00175,BCA,4,60.75,1,-0.007,1,mid,0,7.5,Medium
176,Student_0176,ROLL00176,BCA,1,60.31,0,0.801,2,mid,0,-9.75,Low
177,Student_0177,ROLL00177,CE,1,75.42,1,1.862,23,mid,0,-11.61,Medium
178,Student_0178,ROLL00178,ME,3,66.52,0,0.349,6,mid,0,-7.22,Low
179,Student_0179,ROLL00179,CSE,3,90.59,0,-0.369,21,low,1,5.01,Low
180,Student_0180,ROLL00180,CSE,4,100.0,0,0.469,14,mid,0,6.83,Low
181,Student_0181,ROLL00181,CE,1,70.2,0,-0.878,10,low,0,-9.62,Medium
182,Student_0182,ROLL00182,MBA,2,100.0,0,-0.014,82,low,0,-9.12,Medium
183,Student_0183,ROLL00183,Commerce,2,73.21,1,-1.563,19,high,0,-7.23,Low
184,Student_0184,ROLL00184,Physics,1,82.21,0,0.348,6,mid,0,0.87,Low
185,Student_0185,ROLL00185,ECE,1,90.32,3,-0.296,3,high,0,3.76,Low
186,Student_0186,ROLL00186,MBA,1,30.0,1,0.904,2,high,1,-17.69,Medium
187,Student_0187,ROLL00187,Physics,2,60.35,0,-0.628,0,high,0,1.82,Low
188,Student_0188,ROLL00188,Physics,4,100.0,0,-1.563,7,high,0,2.69,Low
189,Student_0189,ROLL00189,Physics,4,54.48,0,1.038,7,mid,1,1.04,Low
190,Student_0190,ROLL00190,CE,1,75.61,2,0.537,7,mid,1,-12.75,Medium
191,Student_0191,ROLL00191,CE,2,87.01,0,-0.266,61,mid,0,5.42,Low
192,Student_0192,ROLL00192,MBA,4,62.72,0,-1.163,14,mid,0,-1.47,Medium
193,Student_0193,ROLL00193,BCA,3,76.77,0,1.149,10,high,1,8.46,Low
194,Student_0194,ROLL00194,CSE,4,100.0,0,-0.353,9,high,1,12.04,Low
195,Student_0195,ROLL00195,CE,1,69.02,2,-0.091,26,mid,0,-20.92,Medium
196,Student_0196,ROLL00196,Physics,2,56.88,0,-0.411,20,low,1,6.74,Medium
197,Student_0197,ROLL00197,BCA,1,79.27,0,-0.904,1,high,1,-0.41,Low
198,Student_0198,ROLL00198,Physics,3,81.44,2,1.013,12,low,0,5.57,Low
199,Student_0199,ROLL00199,CE,1,83.42,1,0.41,16,mid,1,1.79,Low
200,Student_0200,ROLL00200,BCA,2,54.46,0,0.847,0,high,1,-4.77,Low
201,Student_0201,ROLL00201,Physics,1,75.53,0,0.889,72,low,0,-7.21,Medium
202,Student_0202,ROLL00202,Physics,1,100.0,0,-0.303,31,low,0,8.25,Low
203,Student_0203,ROLL00203,CE,3,79.71,1,0.902,0,high,0,-1.28,Low
204,Student_0204,ROLL00204,MBA,4,92.91,0,0.238,12,high,1,6.27,Low
205,Student_0205,ROLL00205,Commerce,4,98.53,0,0.886,32,low,1,4.15,Low
206,Student_0206,ROLL00206,CE,3,85.36,0,-0.843,10,mid,1,3.62,Low
207,Student_0207,ROLL00207,Commerce,1,60.79,0,-0.742,9,mid,0,-13.56,Medium
208,Student_0208,ROLL00208,CSE,1,59.54,0,-0.083,11,low,0,-4.64,Medium
209,Student_0209,ROLL00209,BCA,1,91.52,0,0.48,93,low,0,16.65,Medium
210,Student_0210,ROLL00210,Physics,1,58.46,2,0.021,42,low,1,-6.19,Medium
211,Student_0211,ROLL00211,CSE,4,86.96,0,0.772,5,mid,1,10.66,Low
212,Student_0212,ROLL00212,ECE,2,60.93,0,-2.0,4,low,1,-4.05,Medium
213,Student_0213,ROLL00213,ECE,3,75.04,0,-1.09,13,mid,0,8.29,Low
214,Student_0214,ROLL00214,CSE,3,76.2,0,0.362,0,high,1,-16.58,Low
215,Student_0215,ROLL00215,CSE,3,36.73,1,0.855,28,mid,1,-1.7,Medium
216,Student_0216,ROLL00216,Commerce,1,58.58,0,1.433,60,low,1,-4.07,Medium
217,Student_0217,ROLL00217,Physics,3,95.48,0,1.033,7,mid,0,8.63,Low
218,Student_0218,ROLL00218,Physics,1,68.13,2,1.396,2,low,1,5.88,Low
219,Student_0219,ROLL00219,MBA,4,100.0,0,-0.046,0,mid,1,-2.73,Low
220,Student_0220,ROLL00220,ME,2,79.37,0,-0.362,49,low,1,1.49,Medium
221,Student_0221,ROLL00221,MBA,1,84.55,0,1.173,1,high,1,4.85,Low
222,Student_0222,ROLL00222,Physics,2,45.25,1,-1.18,11,mid,1,-13.75,Medium
223,Student_0223,ROLL00223,ECE,2,49.29,0,0.061,30,low,0,-8.05,High
224,Student_0224,ROLL00224,ME,4,55.45,2,1.958,14,mid,0,-6.72,Medium
225,Student_0225,ROLL00225,CSE,1,76.57,0,1.086,2,mid,1,-2.22,Low
226,Student_0226,ROLL00226,CE,1,65.82,0,-0.029,9,high,1,-14.58,Low
227,Student_0227,ROLL00227,CSE,2,76.33,0,2.0,30,mid,1,-5.16,Low
228,Student_0228,ROLL00228,Commerce,3,65.94,2,-0.204,33,mid,0,-4.08,Medium
229,Student_0229,ROLL00229,MBA,3,100.0,0,0.952,2,mid,0,8.51,Low
230,Student_0230,ROLL00230,Physics,3,62.43,0,0.857,46,low,1,-8.13,Medium
231,Student_0231,ROLL00231,Physics,4,93.4,1,0.351,1,mid,1,8.35,Low
232,Student_0232,ROLL00232,BCA,3,58.59,0,-0.308,103,low,0,-2.76,High
233,Student_0233,ROLL00233,Physics,2,98.19,0,-0.179,18,low,0,3.41,Low
234,Student_0234,ROLL00234,Physics,3,55.08,1,-0.194,3,high,0,-2.37,Medium
235,Student_0235,ROLL00235,MBA,3,56.62,1,0.008,8,mid,1,5.03,Low
236,Student_0236,ROLL00236,Physics,2,75.4,1,0.559,28,low,1,0.14,Low
237,Student_0237,ROLL00237,ECE,4,59.5,0,-0.524,20,mid,0,-1.78,Medium
238,Student_0238,ROLL00238,ECE,2,71.83,0,0.155,0,low,0,-9.87,Medium
239,Student_0239,ROLL00239,ME,1,85.12,0,1.027,33,mid,1,-0.32,Low
240,Student_0240,ROLL00240,CE,3,85.61,0,1.982,35,low,1,7.83,Low
241,Student_0241,ROLL00241,CSE,4,73.6,0,-0.618,22,mid,1,-5.53,Low
242,Student_0242,ROLL00242,Physics,3,63.9,0,-2.0,3,mid,0,-7.07,Medium
243,Student_0243,ROLL00243,CSE,1,77.88,0,0.622,9,mid,1,-12.11,Low
244,Student_0244,ROLL00244,MBA,1,52.71,1,-0.902,13,low,1,9.38,Medium
245,Student_0245,ROLL00245,BCA,1,56.19,0,-1.744,0,high,0,-2.05,Medium
246,Student_0246,ROLL00246,CSE,3,54.1,4,0.785,0,mid,1,-2.82,Medium
247,Student_0247,ROLL00247,BCA,1,84.88,1,0.438,0,low,1,3.1,Low
248,Student_0248,ROLL00248,BCA,3,75.46,1,-0.742,14,low,0,-1.68,Medium
249,Student_0249,ROLL00249,Commerce,3,75.12,0,-0.223,12,low,0,8.92,Low
250,Student_0250,ROLL00250,CE,1,57.65,0,-0.041,47,mid,1,1.3,Medium
251,Student_0251,ROLL00251,CE,2,60.08,0,0.339,22,mid,1,-10.95,Medium
252,Student_0252,ROLL00252,Physics,4,65.35,0,0.849,6,mid,1,-5.1,Low
253,Student_0253,ROLL00253,Commerce,3,52.4,0,0.038,4,mid,1,1.68,Low
254,Student_0254,ROLL00254,BCA,2,76.04,3,-1.894,0,high,0,-14.39,Medium
255,Student_0255,ROLL00255,ME,4,64.27,1,-1.598,4,high,0,0.7,Medium
256,Student_0256,ROLL00256,CE,4,72.74,0,0.572,56,mid,1,-3.68,Low
257,Student_0257,ROLL00257,Physics,4,97.06,1,0.232,24,low,0,-3.02,Low
258,Student_0258,ROLL00258,CE,4,82.88,0,0.266,0,high,1,-0.98,Low
259,Student_0259,ROLL00259,CSE,2,47.81,0,0.248,45,mid,1,-10.8,Medium
260,Student_0260,ROLL00260,CE,1,61.34,2,-1.245,4,mid,0,-15.21,Medium
261,Student_0261,ROLL00261,CSE,1,75.85,0,-1.54,25,low,1,12.87,Low
262,Student_0262,ROLL00262,Commerce,3,48.05,0,0.922,3,high,1,-8.73,Low
263,Student_0263,ROLL00263,CSE,4,65.41,1,0.011,58,low,1,2.68,Medium
264,Student_0264,ROLL00264,Physics,4,52.72,0,0.32,8,mid,0,-0.22,Low
265,Student_0265,ROLL00265,CSE,1,59.84,0,-1.087,3,mid,0,-11.69,Medium
266,Student_0266,ROLL00266,Commerce,1,51.32,0,-0.678,6,high,1,-6.68,Low
267,Student_0267,ROLL00267,ME,3,98.28,0,-0.598,6,high,0,4.14,Low
268,Student_0268,ROLL00268,ME,4,97.23,0,-1.503,43,low,1,3.17,Low
269,Student_0269,ROLL00269,CSE,3,91.47,1,0.816,17,mid,1,2.63,Low
270,Student_0270,ROLL00270,ME,1,84.18,0,-1.222,67,low,1,5.29,Medium
271,Student_0271,ROLL00271,Commerce,4,52.35,0,0.696,7,mid,0,3.79,Low
272,Student_0272,ROLL00272,ME,1,65.57,1,0.05,3,high,1,-4.9,Low
273,Student_0273,ROLL00273,Physics,2,54.06,0,-1.117,30,mid,1,-11.1,Medium
274,Student_0274,ROLL00274,Physics,3,85.9,0,-0.64,5,mid,0,9.25,Low
275,Student_0275,ROLL00275,CSE,1,59.67,0,-0.704,8,mid,1,4.46,Low
276,Student_0276,ROLL00276,Commerce,3,69.06,2,1.147,1,high,1,-6.31,Low
277,Student_0277,ROLL00277,MBA,4,78.19,0,0.033,120,low,0,-9.07,High
278,Student_0278,ROLL00278,ECE,4,60.96,0,-1.661,4,mid,0,-16.98,Medium
279,Student_0279,ROLL00279,CE,4,73.58,0,-0.083,1,mid,1,-1.51,Low
280,Student_0280,ROLL00280,BCA,1,94.46,1,1.014,13,low,0,8.09,Low
281,Student_0281,ROLL00281,CSE,3,81.93,0,0.391,39,low,1,-3.63,Low
282,Student_0282,ROLL00282,CSE,1,67.39,0,0.497,27,mid,0,-9.92,Low
283,Student_0283,ROLL00283,ME,1,43.1,0,1.677,4,high,1,-15.94,Low
284,Student_0284,ROLL00284,CE,1,84.41,0,-0.234,0,low,0,-0.49,Low
285,Student_0285,ROLL00285,Physics,2,100.0,0,1.615,105,low,1,7.99,Medium
286,Student_0286,ROLL00286,ME,3,80.5,0,-1.238,20,mid,1,-0.82,Low
287,Student_0287,ROLL00287,ECE,1,91.31,3,-0.786,5,high,1,-3.91,Medium
288,Student_0288,ROLL00288,ME,3,58.49,0,-2.0,15,mid,1,-6.83,Low
289,Student_0289,ROLL00289,CSE,1,59.57,0,0.793,50,low,1,-3.13,Medium
290,Student_0290,ROLL00290,BCA,1,86.64,1,0.34,40,low,0,-2.04,Low
291,Student_0291,ROLL00291,CE,3,33.39,1,1.049,23,mid,0,-15.73,Medium
292,Student_0292,ROLL00292,ECE,2,47.46,2,-2.0,1,high,1,-4.63,Medium
293,Student_0293,ROLL00293,Commerce,4,100.0,0,0.474,2,mid,1,-1.63,Low
294,Student_0294,ROLL00294,CSE,3,66.69,1,0.918,6,low,0,-5.25,Medium
295,Student_0295,ROLL00295,ECE,3,73.9,0,-1.418,17,low,0,1.8,Medium
296,Student_0296,ROLL00296,Commerce,1,100.0,2,0.39,18,mid,0,-10.0,Low
297,Student_0297,ROLL00297,BCA,1,53.75,0,-0.925,6,mid,0,-0.96,Low
298,Student_0298,ROLL00298,MBA,2,83.72,0,-1.449,0,high,1,2.77,Low
299,Student_0299,ROLL00299,Commerce,1,52.26,1,1.244,25,mid,1,-1.94,Low
300,Student_0300,ROLL00300,CSE,3,68.64,0,-0.298,32,mid,1,-4.48,Low
301,Student_0301,ROLL00301,Physics,2,67.04,1,0.496,5,high,0,-2.65,Low
302,Student_0302,ROLL00302,Commerce,4,63.15,0,0.62,2,high,0,-4.49,Low
303,Student_0303,ROLL00303,ME,4,95.21,1,-0.209,0,mid,1,13.55,Low
